place_id,address,category,phone_number,latitude,longitude,status,payload,name,review
JISl0DODR5zsRggp-M-PjX7M,"Western India House, Sir Phirozshah Mehta Rd",Home improvement store, 098191 27733,18.934,72.8341427,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/The+Bombay+Store+-+P.M.+Road,+Fort,+Mumbai/data=!4m7!3m6!1s0x3be7d1e00c742921:0xb35fe3e3337e0a82!8m2!3d18.934!4d72.8341427!16s%2Fg%2F1tffh7c2!19sChIJISl0DODR5zsRggp-M-PjX7M?authuser=0&hl=en&rclk=1"",""stars"":4.4,""numberOfReviews"":null}","The Bombay Store - P.M. Road, Fort, Mumbai","{""rating"":""4.4 stars 1,488 Reviews""}"
JV9XMhtnR5zsRfEKdOAzgaCI,"Shop No:69, Goa St",General store, 022 2261 6698,18.9377022,72.8371433,Avaliable,"{""type"":""NA"",""googleUrl"":""https://www.google.com/maps/place/Kamlesh+General+Stores/data=!4m7!3m6!1s0x3be7d1d986ccd557:0x2268e00c389d427c!8m2!3d18.9377022!4d72.8371433!16s%2Fg%2F12jsyd3r9!19sChIJV9XMhtnR5zsRfEKdOAzgaCI?authuser=0&hl=en&rclk=1"",""stars"":null,""numberOfReviews"":null}",Kamlesh General Stores,"{""rating"":""NA""}"
Jbbp6OtnR5zsRIj_43im5NG8,"Shop No-8, Murzban Rd",Grocery store, 093236 79688,18.9392975,72.8345808,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/S+S+General+Stores/data=!4m7!3m6!1s0x3be7d1d93a7aba6d:0x6f34b929def83f22!8m2!3d18.9392975!4d72.8345808!16s%2Fg%2F12hny_pm8!19sChIJbbp6OtnR5zsRIj_43im5NG8?authuser=0&hl=en&rclk=1"",""stars"":4.5,""numberOfReviews"":2}",S S General Stores,"{""rating"":""4.5 stars 2 Reviews""}"
JcejfqdvR5zsRfN5rTIAw7gg,"170/172, Amina Building, Opp. Fort Market, Modi St",Supermarket, 088504 69480,18.9346794,72.835906,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/Zala+Stores/data=!4m7!3m6!1s0x3be7d1dba9dfe871:0x8ee30804c6bde7c!8m2!3d18.9346794!4d72.835906!16s%2Fg%2F12hvmblzm!19sChIJcejfqdvR5zsRfN5rTIAw7gg?authuser=0&hl=en&rclk=1"",""stars"":4.3,""numberOfReviews"":7}",Zala Stores,"{""rating"":""4.3 stars 7 Reviews""}"
J3Q1aPsPR5zsRZFQ6G4yobg4,"82, Nagindas Master Rd",Clothing store, 022 2267 3770,18.929689,72.8321666,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/Stores/data=!4m7!3m6!1s0x3be7d1c33e5a0ddd:0xe6ea88c1b3a5464!8m2!3d18.929689!4d72.8321666!16s%2Fg%2F12hp1l3s5!19sChIJ3Q1aPsPR5zsRZFQ6G4yobg4?authuser=0&hl=en&rclk=1"",""stars"":4,""numberOfReviews"":2}",Stores,"{""rating"":""4.0 stars 2 Reviews""}"
Jg6iRj9zR5zsR-YyLKPcl_Z4,"Shop No. 14, Bagh Baikriwala bldg., Pitha Street",General store, 073037 81032,18.9336874,72.8330519,Avaliable,"{""type"":""Delivery"",""googleUrl"":""https://www.google.com/maps/place/Gupta+Provision+Store/data=!4m7!3m6!1s0x3be7d1dc8f91a883:0x9efd25f7288b8cf9!8m2!3d18.9336874!4d72.8330519!16s%2Fg%2F12hnjd60y!19sChIJg6iRj9zR5zsR-YyLKPcl_Z4?authuser=0&hl=en&rclk=1"",""stars"":4.8,""numberOfReviews"":12}",Gupta Provision Store,"{""rating"":""4.8 stars 12 Reviews""}"
JqxI_KDnR5zsRSeooTi6dsYA,WRQP+CG8 Rana,Sweet shop,NA,18.9385352,72.836334,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/Sweet+shop/data=!4m7!3m6!1s0x3be7d139283f12ab:0x80b19d2e4e28ea49!8m2!3d18.9385352!4d72.836334!16s%2Fg%2F11hkt15f3b!19sChIJqxI_KDnR5zsRSeooTi6dsYA?authuser=0&hl=en&rclk=1"",""stars"":4,""numberOfReviews"":1}",Sweet shop,"{""rating"":""4.0 stars 1 Reviews""}"
JZWCp3dvR5zsRyUAJJzsaERU,"Shop No. 83/89, Bora Bazar St",Sweet shop, 022 6633 2529,18.9370894,72.8354812,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/Bedekar+Sales+Shop/data=!4m7!3m6!1s0x3be7d1dbdda96065:0x15111a3b270940c9!8m2!3d18.9370894!4d72.8354812!16s%2Fg%2F1td0rby1!19sChIJZWCp3dvR5zsRyUAJJzsaERU?authuser=0&hl=en&rclk=1"",""stars"":4.1,""numberOfReviews"":89}",Bedekar Sales Shop,"{""rating"":""4.1 stars 89 Reviews""}"
Jo1nNYAbR5zsRRP-q3zYd-20,"Ground Floor, Shop No 3 ,Raja House MK Amin Marg, Dr, Dr Dadabhai Naoroji Rd",Camera store, 098191 69906,18.9374332,72.8344454,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/Bombay+Photo+Stores/data=!4m7!3m6!1s0x3be7d10660cd59a3:0x6dfb1d36dfaaff44!8m2!3d18.9374332!4d72.8344454!16s%2Fg%2F11frj8k3k4!19sChIJo1nNYAbR5zsRRP-q3zYd-20?authuser=0&hl=en&rclk=1"",""stars"":4.7,""numberOfReviews"":83}",Bombay Photo Stores,"{""rating"":""4.7 stars 83 Reviews""}"
JTWKUUNnR5zsRC7sio5VlF_M,"167, Dr Dadabhai Naoroji Rd, opp. Terminus View Cooperative Society",Shopping mall,NA,18.936752,72.8341541,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/Sonico+Shopping+Centre/data=!4m7!3m6!1s0x3be7d1d95094624d:0xf3176595a322bb0b!8m2!3d18.936752!4d72.8341541!16s%2Fg%2F1q67d2msn!19sChIJTWKUUNnR5zsRC7sio5VlF_M?authuser=0&hl=en&rclk=1"",""stars"":3.5,""numberOfReviews"":35}",Sonico Shopping Centre,"{""rating"":""3.5 stars 35 Reviews""}"
